居民点序号	人口数量(人)	"居民点属性(2代表该居民点内建有仓库，1代表该居民点是1级居民点,是建新仓库的候选位置,0代表该居民点内既没有仓库,以后也不会建仓库）"													
307	64154	0													
308	20560	0													
309	59052	0													
310	11137	0													
311	54524	0													
312	47595	0													
313	65171	0													
314	47442	0													
315	29284	0													
316	43985	0													
317	47547	0													
318	20064	0													
319	56158	0													
320	32358	0													
321	72292	0													
322	59726	0													
323	40010	0													
324	27703	0													
325	16358	0													
326	67887	0													
327	76337	1													
328	55335	0													
329	38202	0													
330	59526	0													
331	51076	0													
332	55467	0													
333	84516	1													
334	45937	0													
335	52346	0													
336	26510	0													
337	35557	0													
338	70554	0													
339	39011	0													
340	13097	0													
341	61254	0													
342	61528	0													
343	60363	0													
344	66546	0													
345	36628	0													
346	57157	0													
347	44949	0													
348	58756	0													
349	32491	0													
350	55338	0													
351	45857	0													
352	88842	1													
353	47642	0													
354	58424	0													
355	59197	0													
356	39965	0													
357	73682	0													
358	58156	0													
359	70559	0													
360	36451	0													
361	33823	0													
362	60850	0													
363	63696	0													
364	62333	0													
365	69621	0													
366	51457	0													
367	47834	0													
368	29029	0													
369	51848	0													
370	61294	0													
371	75079	1													
372	35446	0													
373	59643	0													
374	64868	0													
375	71938	0													
376	47351	0													
377	28384	0													
378	41629	0													
379	34184	0													
380	49648	0													
381	17187	0													
382	36808	0													
383	38176	0													
384	65375	0													
385	69583	0													
386	60483	0													
387	36853	0													
388	38350	0													
389	15735	0													
390	76468	1													
391	13115	0													
392	66586	0													
393	27129	0													
394	51060	0													
395	45369	0													
396	65752	0													
397	77963	1													
398	44896	0													
399	76597	1													
400	21386	0													
401	23059	0													
402	63008	0													
403	60890	0													
404	53040	0													
405	17106	0													
406	65459	0													
407	74418	1													
408	53055	0													
409	46584	0													
410	29173	0													
411	45749	0													
412	70731	0													
413	51745	0													
414	49790	0													
415	61282	0													
416	34665	0													
417	42219	0													
418	25088	0													
419	18193	0													
420	42883	0													
421	67502	0													
422	41687	0													
423	67799	0													
424	33185	0													
425	47838	0													
426	35161	0													
427	59041	0													
428	61363	0													
429	39164	0													
430	32859	0													
431	512	0													
432	20492	0													
433	67336	0													
434	90293	1													
435	58221	0													
436	50755	0													
437	60704	0													
438	16836	0													
439	71140	0													
440	53659	0													
441	33208	0													
442	50078	0													
443	51297	0													
444	52026	0													
445	69088	0													
446	52493	0													
447	52363	0													
448	78921	1													
449	4585	0													
450	57879	0													
451	21291	0													
452	54499	0													
453	81276	1													
454	16052	0													
455	52220	0													
456	34531	0													
457	66640	0													
458	56323	0													
459	25897	0													
460	62245	0													
461	66005	0													
462	31004	0													
463	38268	0													
464	78004	1													
465	43002	0													
466	67864	0													
467	79942	1													
468	68747	0													
469	78081	1													
470	41029	0													
471	67845	0													
472	80396	1													
473	73184	0													
474	86290	1													
475	15972	0													
476	66034	0													
477	53773	0													
478	54799	0													
479	73273	0													
480	50226	0													
481	62465	0													
482	32371	0													
483	53566	0													
484	61470	0													
485	50821	0													
486	40984	0													
487	69899	0													
488	81679	1													
489	59335	0													
490	26290	0													
491	50538	0													
492	47987	0													
493	512	0													
494	44279	0													
495	62636	0													
496	64126	0													
497	9622	0													
498	44546	0													
499	66386	0													
500	37339	0													
501	63684	0													
502	29277	0													
503	68969	0													
504	78183	1													
505	66273	0													
506	46436	0													
507	49096	0													
508	37208	0													
509	41234	0													
510	62462	0													
511	51645	0													
512	53013	0													
513	67323	0													
514	61640	0													
515	54595	0													
516	69725	0													
517	51320	0													
518	24216	0													
519	48167	0													
520	87498	2													
521	45413	0													
522	26466	0													
523	53857	0													
524	41072	0													
525	66872	0													
526	74055	1													
527	48241	0													
528	69788	0													
529	43258	0													
530	39881	0													
531	21064	0													
532	40900	0													
533	78273	1													
534	55601	0													
535	36945	0													
536	37887	0													
537	40486	0													
538	67429	0													
539	50267	0													
540	53754	0													
541	53312	0													
542	47763	0													
543	17156	0													
544	77295	1													
545	18287	0													
546	512	0													
547	41049	0													
548	64494	0													
549	49366	0													
550	44734	0													
551	46905	0													
552	57791	0													
553	57941	0													
554	65635	0													
555	34868	0													
556	31064	0													
557	66507	0													
558	43761	0													
559	35975	0													
560	27007	0													
561	29270	0													
562	42399	0													
563	61369	0													
564	28059	0													
565	80497	1													
566	79783	1													
567	74917	1													
568	52091	0													
569	41480	0													
570	71019	0													
571	50440	0													
572	55641	0													
573	71323	0													
574	14474	0													
575	73174	0													
576	39787	0													
577	15586	0													
578	44615	0													
579	31570	0													
580	32500	0													
581	30828	0													
582	62310	0													
583	35098	0													
584	38561	0													
585	52890	0													
586	22568	0													
587	67766	0													
588	512	0													
589	42228	0													
590	37959	0													
591	64211	0													
592	58137	0													
593	61900	0													
594	39907	0													
595	87109	1													
596	40500	0													
597	50069	0													
598	36101	0													
599	75504	1													
600	30896	0													
601	21382	0													
602	43756	0													
603	91144	1													
604	44659	0													
605	34967	0													
606	50215	0													
607	54511	0													
608	44128	0													
609	59652	0													
610	19168	0													
611	21346	0													
612	512	0													
613	51616	0													
614	78859	1													
615	54762	0													
616	52454	0													
617	66907	0													
618	43170	0													
619	37847	0													
620	55412	0													
621	64515	0													
622	71204	0													
623	27718	0													
624	45205	0													
625	12364	0													
626	46132	0													
627	34761	0													
628	58546	0													
629	59053	0													
630	69498	0													
631	76739	1													
632	79585	1													
633	10065	0													
634	50725	0													
635	24387	0													
636	64699	0													
637	37863	0													
638	37186	0													
639	38539	0													
640	31690	0													
641	42639	0													
642	71758	0													
643	65186	0													
644	52100	0													
645	44808	0													
646	512	0													
647	37453	0													
648	57039	0													
649	58234	0													
650	56033	0													
651	28617	0													
652	48079	0													
653	35497	0													
654	74044	1													
655	77855	1													
656	67727	0													
657	47294	0													
658	62811	0													
659	32330	0													
660	78031	1													
661	65453	0													
662	42283	0													
663	62637	0													
664	48580	0													
665	62097	0													
666	36070	0													
667	54900	0													
668	36369	0													
669	23240	0													
670	36281	0													
671	40272	0													
672	65171	0													
673	28578	0													
674	62530	0													
675	31635	0													
676	71130	0													
677	51727	0													
678	47108	0													
679	25940	0													
680	27161	0													
681	45582	0													
682	75417	1													
683	51167	0													
684	29769	0													
685	67816	0													
686	47910	0													
687	67378	0													
688	38895	0													
689	53790	0													
690	21878	0													
691	33458	0													
692	63932	0													
693	60661	0													
694	73951	0													
695	60123	0													
696	53594	0													
697	64592	0													
698	65970	0													
699	72595	0													
700	81647	1													
701	65127	0													
702	46916	0													
703	23450	0													
704	36750	0													
705	33583	0													
706	38734	0													
707	79301	1													
708	31632	0													
709	63371	0													
710	20313	0													
711	43968	0													
712	48334	0													
713	38750	0													
714	70268	0													
715	43340	0													
716	74771	1													
717	36673	0													
718	26250	0													
719	62141	0													
720	87888	1													
721	76767	1													
722	71507	0													
723	62978	0													
724	83678	1													
725	77469	1													
726	43697	0													
727	52870	0													
728	32338	0													
729	46941	0													
730	65848	0													
731	58159	0													
732	29682	0													
733	75050	1													
734	70097	0													
735	73507	0													
736	56332	0													
737	69430	0													
738	60259	0													
739	61017	0													
740	48747	0													
741	42628	0													
742	22690	0													
743	47552	0													
744	37034	0													
745	35395	0													
746	42818	0													
747	58278	0													
748	22592	0													
749	53626	0													
750	43590	0													
751	15390	0													
752	1096	0													
753	67885	0													
754	41219	0													
755	63244	0													
756	55517	0													
757	38973	0													
758	66411	0													
759	66373	0													
760	53196	0													
761	69872	0													
762	57606	0													
763	64797	0													
764	26869	0													
765	71496	0													
766	15155	0													
767	40224	0													
768	62230	0													
769	40801	0													
770	59318	0													
771	61333	0													
772	37330	0													
773	65646	0													
774	55330	0													
775	50865	0													
776	68581	0													
777	46388	0													
778	29705	0													
779	62164	0													
780	64749	0													
781	34181	0													
782	79109	1													
783	27613	0													
784	32745	0													
785	60727	0													
786	6663	0													
787	23437	0													
788	42294	0													
789	73554	0													
790	77753	1													
791	33368	0													
792	36524	0													
793	57601	0													
794	69287	0													
795	101392	1													
796	56744	0													
797	66157	0													
798	41475	0													
799	30224	0													
800	52647	0													
801	55288	0													
802	33905	0													
803	73467	0													
804	78399	1													
805	58056	0													
806	77588	1													
807	39362	0													
808	23139	0													
809	24218	0													
810	58134	0													
811	43081	0													
812	58918	0													
813	71613	0													
814	60825	0													
815	62098	0													
816	16059	0													
817	39496	0													
818	45522	0													
819	80904	1													
820	53777	0													
821	18531	0													
822	82876	1													
823	59905	0													
824	50315	0													
825	40336	0													
826	74217	1													
827	33114	0													
828	93834	1													
829	46363	0													
830	30572	0													
831	22938	0													
832	43740	0													
833	50970	0													
834	42373	0													
835	35761	0													
836	61352	0													
837	34540	0													
838	55525	0													
839	44688	0													
840	62691	0													
841	18823	0													
842	69201	0													
843	29391	0													
844	32976	0													
845	70251	0													
846	84504	1													
847	41579	0													
848	54234	0													
849	26046	0													
850	17790	0													
851	73487	0													
852	64983	0													
853	49308	0													
854	39648	0													
855	25155	0													
856	38859	0													
857	79898	1													
858	45204	0													
859	61391	0													
860	51888	0													
861	23287	0													
862	15775	0													
863	71016	0													
864	54454	0													
865	106944	1													
866	47005	0													
867	63022	0													
868	52938	0													
869	37041	0													
870	33670	0													
871	29878	0													
872	70249	0													
873	38836	0													
874	30617	0													
875	46503	0													
876	36461	0													
877	47731	0													
878	12643	0													
879	26080	0													
880	51217	0													
881	34541	0													
882	37105	0													
883	86969	1													
884	75645	1													
885	45532	0													
886	25918	0													
887	31156	0													
888	94282	1													
889	47382	0													
890	55363	0													
891	50582	0													
892	72607	0													
893	34605	0													
894	35204	0													
895	14233	0													
896	19452	0													
897	55389	0													
898	48245	0													
899	65389	0													
900	39739	0													
901	59130	0													
902	64986	0													
903	88534	1													
904	48273	0													
905	46318	0													
906	51765	0													
907	51484	0													
908	46582	0													
909	87501	1													
910	74772	1													
911	39623	0													
912	66552	0													
913	74880	1													
914	31333	0													
915	28549	0													
916	43092	0													
917	54601	0													
918	52390	0													
919	47925	0													
920	53927	0													
921	30928	0													
922	32415	0													
923	56937	0													
924	46031	0													
925	41686	0													
926	15740	0													
927	54199	0													
928	57608	0													
929	22146	0													
930	45979	0													
931	49479	0													
932	66217	0													
933	35190	0													
934	37189	0													
935	33695	0													
936	14389	0													
937	51292	0													
938	56249	0													
939	33927	0													
940	30915	0													
941	26401	0													
942	46044	0													
943	71313	0													
944	512	0													
945	4660	0													
946	70774	0													
947	35631	0													
948	48718	0													
949	73565	0													
950	80466	1													
951	50605	0													
952	63149	0													
953	53774	0													
954	59466	0													
955	42606	0													
956	19870	0													
957	61374	0													
958	62509	0													
959	41945	0													
960	38623	0													
961	20916	0													
962	39263	0													
963	38031	0													
964	42461	0													
965	82971	1													
966	57069	0													
967	41940	0													
968	55955	0													
969	55852	0													
970	73279	0													
971	67325	0													
972	69895	0													
973	53277	0													
974	57294	0													
975	71234	0													
976	51777	0													
977	18795	0													
978	53418	0													
979	31167	0													
980	48498	0													
981	40356	0													
982	36163	0													
983	72661	0													
984	42327	0													
985	49995	0													
986	51450	0													
987	21405	0													
988	73359	0													
989	47054	0													
990	66021	0													
991	55430	0													
992	72583	0													
993	35169	0													
994	15621	0													
995	39718	0													
996	37217	0													
997	25708	0													
998	72815	0													
999	68764	0													
1000	66473	0													
1001	13665	0													
1002	15309	0													
1003	81151	1													
1004	51623	0													
1005	60472	0													
1006	43144	0													
1007	15706	0													
1008	48881	0													
1009	44682	0													
1010	103636	1													
1011	26905	0													
1012	42333	0													
1013	30670	0													
1014	89668	1													
1015	64136	0													
1016	25653	0													
1017	56432	0													
1018	24225	0													
1019	43616	0													
1020	110759	2													
1021	56764	0													
1022	28461	0													
1023	54715	0													
1024	36539	0													
1025	29561	0													
1026	31410	0													
1027	52327	0													
1028	65499	0													
1029	48552	0													
1030	24140	0													
1031	34772	0													
1032	85453	1													
1033	36881	0													
1034	40902	0													
1035	75115	1													
1036	23433	0													
1037	64105	0													
1038	41261	0													
1039	35507	0													
1040	69287	0													
1041	52814	0													
1042	56603	0													
1043	56729	0													
1044	54333	0													
1045	32895	0													
1046	26829	0													
1047	60474	0													
1048	39126	0													
1049	83513	1													
1050	44073	0													
1051	57619	0													
1052	87550	1													
1053	49073	0													
1054	57129	0													
1055	46156	0													
1056	80624	1													
1057	55114	0													
1058	73288	0													
1059	42828	0													
1060	17746	0													
1061	49391	0													
1062	74052	1													
1063	65105	0													
1064	45515	0													
1065	49940	0													
1066	31373	0													
1067	64060	0													
1068	33766	0													
1069	56644	0													
1070	27346	0													
1071	51771	0													
1072	81594	1													
1073	52421	0													
1074	58174	0													
1075	44562	0													
1076	24798	0													
1077	75767	1													
1078	79825	1													
1079	56937	0													
1080	57680	0													
1081	56527	0													
1082	22151	0													
1083	52657	0													
1084	64554	0													
1085	25360	0													
1086	71971	0													
1087	32603	0													
1088	47958	0													
1089	32660	0													
1090	43437	0													
1091	69268	0													
1092	31918	0													
1093	58541	0													
1094	46019	0													
1095	54289	0													
1096	41620	0													
1097	74331	1													
1098	80456	1													
1099	51244	0													
1100	11397	0													
1101	51246	0													
1102	77501	1													
1103	53155	0													
1104	42737	0													
1105	47978	0													
1106	512	0													
1107	45593	0													
1108	40708	0													
1109	42202	0													
1110	48737	0													
1111	22288	0													
1112	18290	0													
1113	61854	0													
1114	36123	0													
1115	40253	0													
1116	64171	0													
1117	43623	0													
1118	64015	0													
1119	54711	0													
1120	43865	0													
1121	47709	0													
1122	30210	0													
1123	62405	0													
1124	70329	0													
1125	63903	0													
1126	57476	0													
1127	35996	0													
1128	16902	0													
1129	39748	0													
1130	74869	1													
1131	62387	0													
1132	41343	0													
1133	30614	0													
1134	29026	0													
1135	31913	0													
1136	44917	0													
1137	42197	0													
1138	33783	0													
1139	27909	0													
1140	48611	0													
1141	54239	0													
1142	46418	0													
1143	13118	0													
1144	17059	0													
1145	58243	0													
1146	42686	0													
1147	27584	0													
1148	97966	1													
1149	71952	0													
1150	62558	0													
1151	49666	0													
1152	47152	0													
1153	91976	1													
1154	31430	0													
1155	66661	0													
1156	60489	0													
1157	62177	0													
1158	48263	0													
1159	86068	1													
1160	71859	0													
1161	19478	0													
1162	56332	0													
1163	61614	0													
1164	46522	0													
1165	53774	0													
1166	76084	1													
1167	54484	0													
1168	84004	1													
1169	31903	0													
1170	40784	0													
1171	44727	0													
1172	59458	0													
1173	58258	0													
1174	68774	0													
1175	62069	0													
1176	56465	0													
1177	63996	0													
1178	76810	1													
1179	66252	0													
1180	17343	0													
1181	32466	0													
1182	11449	0													
1183	87710	1													
1184	43268	0													
1185	48327	0													
1186	14489	0													
1187	34534	0													
1188	68946	0													
1189	28462	0													
1190	84976	1													
1191	20277	0													
1192	25191	0													
1193	58599	0													
1194	19568	0													
1195	562	0													
1196	59993	0													
1197	26016	0													
1198	39915	0													
1199	40289	0													
1200	74778	1													
1201	53061	0													
1202	51132	0													
1203	53659	0													
1204	8939	0													
1205	37744	0													
1206	51298	0													
1207	42435	0													
1208	35956	0													
1209	52294	0													
1210	512	0													
1211	8043	0													
1212	45339	0													
1213	14461	0													
1214	37676	0													
1215	39983	0													
1216	43122	0													
1217	55602	0													
1218	51416	0													
1219	66057	0													
1220	46782	0													
1221	71731	0													
1222	66360	0													
1223	54328	0													
1224	88755	1													
1225	48024	0													
1226	59881	0													
1227	52310	0													
1228	76363	1													
1229	24038	0													
1230	32014	0													
1231	43751	0													
1232	47352	0													
1233	46274	0													
1234	40146	0													
1235	32928	0													
1236	19452	0													
1237	17557	0													
1238	65604	0													
1239	8140	0													
1240	56140	0													
1241	51361	0													
1242	59247	0													
1243	28542	0													
1244	54801	0													
1245	50144	0													
1246	66467	0													
1247	37901	0													
1248	87213	1													
1249	71404	0													
1250	53738	0													
1251	50567	0													
1252	31067	0													
1253	62160	0													
1254	60916	0													
1255	67036	0													
1256	49642	0													
1257	68152	0													
1258	37834	0													
1259	18760	0													
1260	29620	0													
1261	79583	1													
1262	62920	0													
1263	25031	0													
1264	45067	0													
1265	56756	0													
1266	44631	0													
1267	81479	1													
1268	49001	0													
1269	43620	0													
1270	38829	0													
1271	41218	0													
1272	47689	0													
1273	9123	0													
1274	67311	0													
1275	46650	0													
1276	82887	1													
1277	72669	0													
1278	26732	0													
1279	61239	0													
1280	28573	0													
1281	29235	0													
1282	42801	0													
1283	20682	0													
1284	27190	0													
1285	52969	0													
1286	24065	0													
1287	18260	0													
1288	78353	1													
1289	70785	0													
1290	72684	0													
1291	60555	0													
1292	48585	0													
1293	76410	1													
1294	83404	1													
1295	39658	0													
1296	90609	1													
1297	16684	0													
1298	18105	0													
1299	38303	0													
1300	39555	0													
1301	60207	0													
1302	64322	0													
1303	35796	0													
1304	69022	0													
1305	63960	0													
1306	20924	0													
1307	61710	0													
1308	71545	0													
1309	29635	0													
1310	38933	0													
1311	69974	0													
1312	93916	1													
1313	43061	0													
1314	43516	0													
1315	60588	0													
1316	44850	0													
1317	32793	0													
1318	25021	0													
1319	16817	0													
1320	87498	1													
